Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a9974c83cbcae6d4d11e0a09d3480d10032791ff14dec13d5781b9776ac72f32,2021-05,Bedfordshire Police,Bedfordshire Police,-0.430730,51.913287,On or near Supermarket,E01015744,Luton 004A,Investigation complete; no suspect identified
fe86a330b875159ff4d2752fd843828ceeb88066ef293d4a3693db58c7246bd2,2021-05,Bedfordshire Police,Bedfordshire Police,-0.465181,52.154046,On or near Parking Area,E01017457,Bedford 005E,Investigation complete; no suspect identified
9e40750dc8844dba41394792d5a61a223eac0a6fb2183f491d201ee4a4eb4e0a,2021-05,Bedfordshire Police,Bedfordshire Police,-0.534182,51.886343,On or near BEECROFT WAY,E01017596,Central Bedfordshire 028C,Unable to prosecute suspect
b3049d91fd49dab6c9f58ac68b156764b17da87948eecba7d6e43acdf69348f7,2021-05,Bedfordshire Police,Bedfordshire Police,-0.457177,52.006556,On or near EVES FIELD,E01017398,Central Bedfordshire 017A,Investigation complete; no suspect identified
40d7dfa1b58a5cda2eb38d2f3b1bf187bcb88c0d5a75d05abd83a257d810d128,2021-05,Bedfordshire Police,Bedfordshire Police,-0.254459,52.090279,On or near SPRING CLOSE,E01033813,Central Bedfordshire 006J,Investigation complete; no suspect identified
1750d214ad7968c2365761fabc1117383e4db13a391394f9d8cbcb65eea56c32,2021-05,Bedfordshire Police,Bedfordshire Police,-0.532691,51.878573,On or near SPOONDELL,E01017567,Central Bedfordshire 029B,Unable to prosecute suspect
a9c156ccf0cbdcba9c7d9908e57742b8463776ab10dfccdd4fd60b9c68cc0f47,2021-05,Bedfordshire Police,Bedfordshire Police,-0.525075,52.111410,On or near IBBETT CLOSE,E01017547,Bedford 002F,Investigation complete; no suspect identified
d7fcdcb4b69b5707db20b2ead302fa2ec6f88a2c2473b0215b33a5540ae941a6,2021-05,Bedfordshire Police,Bedfordshire Police,-0.427158,51.916090,On or near Petrol Station,E01015748,Luton 004D,Investigation complete; no suspect identified
02a2eee640f6e4d175fd125a6fb4d08f5448d136ceae16c0c713065e278d692c,2021-05,Bedfordshire Police,Bedfordshire Police,-0.494483,52.032799,On or near BREWERY LANE,E01017374,Central Bedfordshire 012D,Investigation complete; no suspect identified
d87743491297993555996d7411006025a0e23f0fa64baa0b8bdcb6e3b0aa7b0e,2021-05,Bedfordshire Police,Bedfordshire Police,-0.470849,51.893881,On or near WYNDHAM ROAD,E01015713,Luton 013A,Investigation complete; no suspect identified
8a486a486781b4b72461601c9d9eaab907a655c7f3190577c233cfbb938d9135,2021-05,Bedfordshire Police,Bedfordshire Police,-0.657472,51.914132,On or near Petrol Station,E01017555,Central Bedfordshire 021A,Investigation complete; no suspect identified
874afa16fbe7c6bcab9105ce815c16a872d46e66204efdaf173d5327244a94dc,2021-05,Bedfordshire Police,Bedfordshire Police,-0.403902,51.872356,On or near Sports/Recreation Area,E01015790,Luton 021B,Investigation complete; no suspect identified
462aa6d4d27a6c444101c1a991ec007d6e07d9ca0253e0da9ccffb5d0da06031,2021-05,Bedfordshire Police,Bedfordshire Police,-0.387071,51.906736,On or near RAVENBANK ROAD,E01015797,Luton 008A,Investigation complete; no suspect identified
d2dd88d7b458dc52e05e62928126c7d7b302065eb3ab614ca3d1950ac499d6ba,2021-05,Bedfordshire Police,Bedfordshire Police,-0.443421,51.877606,On or near BROCKTON CLOSE,E01015733,Luton 020B,Unable to prosecute suspect
0dc0e799fcfe8a79fc1610a1f419818113cbd3b0994729cba24f71ac9af3f895,2021-05,Bedfordshire Police,Bedfordshire Police,-0.499546,52.167121,On or near KNIGHTS AVENUE,E01017481,Bedford 003D,Unable to prosecute suspect
5be126a0e6527477286ca3b8340c6b77af710594f37f51c4d08cd50be44ca048,2021-05,Bedfordshire Police,Bedfordshire Police,-0.254681,52.086461,On or near COOKS WAY,E01017383,Central Bedfordshire 005A,Investigation complete; no suspect identified
d09b1ce98bf75389769b920d6a6407857d29a06684e53a6bd70edce635c5586e,2021-05,Bedfordshire Police,Bedfordshire Police,-0.404990,51.865438,On or near AIRPORT WAY,E01015790,Luton 021B,Investigation complete; no suspect identified
a1a0a34b901a302ad0639373157dbf98a7a9bd89bb7b89aaf86cc6263408fd2a,2021-05,Bedfordshire Police,Bedfordshire Police,-0.525849,52.107841,On or near WOOTTON ROAD,E01017547,Bedford 002F,Investigation complete; no suspect identified
573a1bf987ce2a499c1440441fbdc3ab0e5440a69610a84b7a2d17274ff0b5f2,2021-05,Bedfordshire Police,Bedfordshire Police,-0.472755,52.142034,On or near CHANDOS STREET,E01017502,Bedford 010F,Investigation complete; no suspect identified
24e344c667f7398a5fd3e5ebe088cd53fd0c4cb18f98b5eb4928be96d9ec4890,2021-05,Bedfordshire Police,Bedfordshire Police,-0.322456,52.145045,On or near THE AVENUE,E01017423,Central Bedfordshire 004C,Unable to prosecute suspect
0d399c5e23845791a71ba8f2c7fa1cf9c0dc491e736cc2f8817c0ac27229a32f,2021-05,Bedfordshire Police,Bedfordshire Police,-0.539671,52.080788,On or near HOO LANE,E01033820,Central Bedfordshire 009G,Investigation complete; no suspect identified
76af875d1be4d579efb2c8aefc9f848a50fc082b843924f60ad4eb978234dbd8,2021-05,Bedfordshire Police,Bedfordshire Police,-0.463792,52.122199,On or near KELVIN AVENUE,E01017472,Bedford 015A,Unable to prosecute suspect
ef7f54dc22b99b4375d978e6158bd0c94dfcdbf267655bed937e31a96d8a577c,2021-05,Bedfordshire Police,Bedfordshire Police,-0.507103,51.888367,On or near BRAMLEY COURT,E01017584,Central Bedfordshire 027C,Investigation complete; no suspect identified
54698bdbb0b159856c6a60dad259ce807f7c6a61ad5794f901f1419ab2bbca7d,2021-05,Bedfordshire Police,Bedfordshire Police,-0.238016,52.089702,On or near JUPITER WAY,E01033809,Central Bedfordshire 006F,Investigation complete; no suspect identified
58932c2449f14958f23d66a1cb1fb1af09e85d1002c95d43ad32f9ea36f1183f,2021-05,Bedfordshire Police,Bedfordshire Police,-0.422136,51.906285,On or near Further/Higher Educational Building,E01015694,Luton 007B,Investigation complete; no suspect identified
61e7ab1b4f5548a2f36e281b38f3bc4a9e717fa4d100caf8ae23b6269c674b56,2021-05,Bedfordshire Police,Bedfordshire Police,-0.520266,51.887086,On or near Nightclub,E01017568,Central Bedfordshire 029C,Investigation complete; no suspect identified
4d39bc2259604cf2e6fdb084d9f82ceb72fc729df0c6e7c08d4fad5a290c3fad,2021-05,Bedfordshire Police,Bedfordshire Police,-0.428119,52.145098,On or near Sports/Recreation Area,E01017490,Bedford 007C,Unable to prosecute suspect
fdf47a069ea36fe3d9ef8363330d55ca23286fc3e99d990b3269742bb6aa0546,2021-05,Bedfordshire Police,Bedfordshire Police,-0.500809,51.878387,On or near GRAHAM ROAD,E01017594,Central Bedfordshire 030C,Investigation complete; no suspect identified
feda952a233fb31dd451af6511e8bd49d941d3860bee2653567f95695a5af540,2021-05,Bedfordshire Police,Bedfordshire Police,-0.494094,51.895422,On or near Parking Area,E01015761,Luton 009F,Investigation complete; no suspect identified
159348c1fd70b32a1c07291bb2481ffb639fbe2e43100b4473ea81cc185db835,2021-05,Bedfordshire Police,Bedfordshire Police,-0.464837,52.138982,On or near ST PETER'S STREET,E01034418,Bedford 012G,Unable to prosecute suspect
294bae088c13066d47046c4b451a7d71396ebeb27108b8a8eefef7f7ced7b7ea,2021-05,Bedfordshire Police,Bedfordshire Police,-0.333550,52.037646,On or near Supermarket,E01017437,Central Bedfordshire 011A,Investigation complete; no suspect identified
4f337bc3960fc27cffe7b5819888b8d0dd06b8acaa6b4458dc5ecb081e1387f4,2021-05,Bedfordshire Police,Bedfordshire Police,-0.450584,52.126927,On or near CARTER CLOSE,E01017519,Bedford 014B,Local resolution
2af4115bea6041a302cb9446e102e7318d24116b3fe6c2d9b32bac9062c87d8d,2021-05,Bedfordshire Police,Bedfordshire Police,-0.449761,52.124551,On or near Parking Area,E01017521,Bedford 014D,Local resolution
d27bc8e7347bcc3487f936d1030d3f6f45d641c8c0077335a460d27d0198e355,2021-05,Bedfordshire Police,Bedfordshire Police,-0.506396,51.908364,On or near CONSTABLE CLOSE,E01017580,Central Bedfordshire 026C,Investigation complete; no suspect identified
f07c32598515cf50e8e775619bd5e12453062e4a6609eaa823b16127a05948c3,2021-05,Bedfordshire Police,Bedfordshire Police,-0.459076,51.914309,On or near HARDING CLOSE,E01015802,Luton 003F,Investigation complete; no suspect identified
fc91d195068d24530a65756e76b241ff1858203048c8e873543b86a0e4467c3d,2021-05,Bedfordshire Police,Bedfordshire Police,-0.425014,51.886335,On or near BISCOT ROAD,E01015698,Luton 017A,Investigation complete; no suspect identified
8ac0d55de0bc100d65c9224b7598e0b16c559829006167de5d016a4dbafb16f9,2021-05,Bedfordshire Police,Bedfordshire Police,-0.461515,52.135719,On or near ALBANY ROAD,E01034419,Bedford 012H,Investigation complete; no suspect identified
2e91ab2ada9d318dc3476b3f9c18a0f039b95a9ca3af3636fd86ffc205c426ad,2021-05,Bedfordshire Police,Bedfordshire Police,-0.478111,52.142660,On or near WARWICK AVENUE,E01017501,Bedford 010E,Unable to prosecute suspect
